,Currency,Year,Quarter,Rate,meanCurrency,sdCurrency,StandardRate
1508,SGD,2011,Q1,0.488917333,0.452929473,0.069339956,-0.657823592
1521,SGD,2012,Q1,0.503526667,0.452929473,0.069339956,-0.657823592
1512,SGD,2013,Q1,0.521069,0.452929473,0.069339956,-0.657823592
1504,SGD,2014,Q1,0.476282667,0.452929473,0.069339956,-0.657823592
1497,SGD,2015,Q1,0.486742,0.452929473,0.069339956,-0.657823592
1505,SGD,2016,Q1,0.497995667,0.452929473,0.069339956,-0.657823592
1565,THB,2006,Q4,0.014287333,0.018724489,0.002348418,-0.657823592
1556,THB,2007,Q4,0.01574,0.018724489,0.002348418,-0.657823592
1573,THB,2008,Q4,0.018338667,0.018724489,0.002348418,-0.657823592
1577,THB,2009,Q4,0.018390333,0.018724489,0.002348418,-0.657823592
1581,THB,2010,Q4,0.021095333,0.018724489,0.002348418,-0.657823592
1584,THB,2011,Q4,0.020520667,0.018724489,0.002348418,-0.657823592
1549,THB,2012,Q4,0.020305333,0.018724489,0.002348418,-0.657823592
1553,THB,2013,Q4,0.019473,0.018724489,0.002348418,-0.657823592
1544,THB,2014,Q4,0.019320333,0.018724489,0.002348418,-0.657823592
1583,THB,2015,Q4,0.018404333,0.018724489,0.002348418,-0.657823592
1555,THB,2016,Q4,0.0230585,0.018724489,0.002348418,-0.657823592
1564,THB,2006,Q3,0.014159,0.018724489,0.002348418,-0.657823592
1568,THB,2007,Q3,0.015691,0.018724489,0.002348418,-0.657823592
1572,THB,2008,Q3,0.015622333,0.018724489,0.002348418,-0.657823592
1576,THB,2009,Q3,0.017934,0.018724489,0.002348418,-0.657823592
1580,THB,2010,Q3,0.020403667,0.018724489,0.002348418,-0.657823592
1571,THB,2011,Q3,0.020608,0.018724489,0.002348418,-0.657823592
1561,THB,2012,Q3,0.020188,0.018724489,0.002348418,-0.657823592
1552,THB,2013,Q3,0.020511333,0.018724489,0.002348418,-0.657823592
1543,THB,2014,Q3,0.018668667,0.018724489,0.002348418,-0.657823592
1560,THB,2015,Q3,0.018328333,0.018724489,0.002348418,-0.657823592
1546,THB,2016,Q3,0.021872,0.018724489,0.002348418,-0.657823592
1563,THB,2006,Q2,0.014365333,0.018724489,0.002348418,-0.657823592
1567,THB,2007,Q2,0.015456333,0.018724489,0.002348418,-0.657823592
1558,THB,2008,Q2,0.015716,0.018724489,0.002348418,-0.657823592
1575,THB,2009,Q2,0.018611333,0.018724489,0.002348418,-0.657823592
1579,THB,2010,Q2,0.020714333,0.018724489,0.002348418,-0.657823592
1570,THB,2011,Q2,0.020256,0.018724489,0.002348418,-0.657823592
1547,THB,2012,Q2,0.020214667,0.018724489,0.002348418,-0.657823592
1551,THB,2013,Q2,0.021801333,0.018724489,0.002348418,-0.657823592
1542,THB,2014,Q2,0.018311333,0.018724489,0.002348418,-0.657823592
1559,THB,2015,Q2,0.019646,0.018724489,0.002348418,-0.657823592
1545,THB,2016,Q2,0.019779667,0.018724489,0.002348418,-0.657823592
1562,THB,2006,Q1,0.01452,0.018724489,0.002348418,-0.657823592
